,고객번호,성별,연령대,거주지역,14년 상반기 구매총액,14년 하반기 구매총액,15년 상반기 구매총액,15년 하반기 구매총액,14년도총구매액,15년도총구매액,식품_1,식품_2,식품_3,식품_4,생활_1,생활_2,생활_3,생활_4,잡화_1,잡화_2,잡화_3,잡화_4,화장품_1,화장품_2,화장품_3,화장품_4,시설_1,시설_2,시설_3,시설_4,문화_1,문화_2,문화_3,문화_4,의류_1,의류_2,의류_3,의류_4,가구_1,가구_2,가구_3,가구_4,아동_1,아동_2,아동_3,아동_4,스포츠_레저_1,스포츠_레저_2,스포츠_레저_3,스포츠_레저_4,악세사리_1,악세사리_2,악세사리_3,악세사리_4,전자제품_1,전자제품_2,전자제품_3,전자제품_4
10,10325,F,55세~59세,100.0,8251272,5162390,5590924,6365904,13413662,11956828,4.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
11,10841,F,45세~49세,210.0,8657742,9790272,7067600,8061268,18448014,15128868,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,1.0,2.0,1.0,4.0,4.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
12,18680,F,25세~29세,55.0,23671668,9131692,14429476,18248964,32803360,32678440,4.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0
13,18377,F,40세~44세,100.0,6313116,5161998,5063712,7007728,11475114,12071440,3.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
14,1700,F,55세~59세,100.0,4843124,4028616,4886928,4029068,8871740,8915996,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,4526,M,45세~49세,360.0,7911928,4766686,7733516,6207474,12678614,13940990,3.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,8539,F,35세~39세,500.0,54317460,55944788,42598092,60491878,110262248,103089970,4.0,2.0,1.0,2.0,4.0,4.0,3.0,4.0,1.0,4.0,1.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,1.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,0.0,4.0
17,8510,M,35세~39세,100.0,31779262,36330296,17741138,25626882,68109558,43368020,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,0.0,0.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,1.0,4.0,0.0,0.0
18,1852,F,50세~54세,55.0,55658974,25142422,71460736,47196186,80801396,118656922,2.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,3.0,4.0,4.0,1.0,3.0,3.0,2.0
19,14003,F,60세이상,16.0,2841816,2465520,2895964,2267166,5307336,5163130,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
20,2093,F,50세~54세,39.0,30553080,39407582,23935938,30823888,69960662,54759826,1.0,2.0,4.0,1.0,4.0,4.0,4.0,3.0,2.0,0.0,2.0,1.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,4.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0
21,8321,F,35세~39세,39.0,2676356,3927406,1100008,1258274,6603762,2358282,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
22,9336,F,30세~34세,33.0,12968306,20773382,21220090,1142902,33741688,22362992,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,0.0,1.0,4.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0
23,9728,F,30세~34세,36.0,554902,1146980,1641900,376722,1701882,2018622,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,4371,F,45세~49세,16.0,22683698,20327996,18523208,15653554,43011694,34176762,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,3.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0
25,9,F,60세이상,100.0,79414588,76414892,172566704,82959718,155829480,255526422,1.0,2.0,1.0,3.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0
26,12299,F,30세~34세,55.0,21140698,16547014,24407010,8697138,37687712,33104148,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0
27,16996,F,30세~34세,100.0,23994926,37371168,18416736,16470220,61366094,34886956,4.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,1.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,0.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0
28,6494,F,40세~44세,100.0,41446378,60445006,41816596,35643218,101891384,77459814,2.0,2.0,1.0,1.0,3.0,3.0,4.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,0.0,0.0,1.0,0.0,4.0,4.0,4.0,4.0,2.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
29,15377,F,40세~44세,60.0,6243636,7836078,5918494,471320,14079714,6389814,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,0.0,2.0,3.0,4.0,1.0,4.0,4.0,4.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0
30,3156,F,50세~54세,60.0,11204522,9842878,15513060,12026130,21047400,27539190,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,3573,F,45세~49세,60.0,11483934,12959980,7935650,11849936,24443914,19785586,4.0,4.0,4.0,4.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
32,1398,M,55세~59세,100.0,7477538,5784394,5894464,3520332,13261932,9414796,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
33,2440,F,50세~54세,460.0,33187340,15748208,16736044,15787018,48935548,32523062,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0
34,15717,M,40세~44세,460.0,11212104,13152022,5437146,7157532,24364126,12594678,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0
35,14334,F,25세~29세,100.0,32955230,35676864,41939920,17036594,68632094,58976514,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,0.0,0.0,3.0,4.0
36,1427,M,55세~59세,100.0,5502108,3605936,4628538,3587796,9108044,8216334,3.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
37,1790,F,55세~59세,100.0,9420404,6893458,8710334,7222342,16313862,15932676,2.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,0.0,1.0,0.0,2.0,2.0,3.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0
38,18742,F,45세~49세,75.0,9636350,8312360,9958854,9612930,17948710,19571784,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
39,16503,F,45세~49세,43.0,24550992,11980164,20839408,16931666,36531156,37771074,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0
40,5043,F,45세~49세,210.0,3931994,4573840,5275032,3995796,8505834,9270828,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,14206,F,45세~49세,43.0,8401328,8779104,9086398,8965812,17180432,18052210,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
42,3405,F,50세~54세,100.0,17885678,11946622,9049016,5695388,29832300,14744404,1.0,3.0,1.0,2.0,4.0,4.0,3.0,1.0,1.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,1.0,3.0,3.0,0.0,4.0,3.0,0.0,1.0
43,7921,F,35세~39세,100.0,88272396,17200312,22011062,30251752,105472708,52262814,3.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,4.0
44,3481,F,50세~54세,210.0,4624812,3207178,2443156,3368256,7831990,5811412,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
45,2833,F,50세~54세,500.0,9011244,5737466,11692120,1485736,14748710,13177856,3.0,3.0,2.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
46,815,F,55세~59세,47.0,18633206,14449388,6309888,2880688,33082594,9190576,4.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
47,2520,M,50세~54세,210.0,17850688,20679742,18041324,16956226,38530430,34997550,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0
48,4085,F,45세~49세,60.0,18578516,5093908,11443642,7961676,23672424,19405318,2.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
49,17429,F,40세~44세,100.0,5934968,3640568,3941948,3378520,9575536,7320468,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,6332,F,40세~44세,100.0,5991614,6212736,6411792,5438120,12204350,11849912,4.0,4.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
51,15651,F,45세~49세,65.0,13193622,8084270,8964778,9843920,21277892,18808698,4.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,4.0,1.0,0.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0
52,245,F,60세이상,60.0,11122032,17902050,12291066,12498112,29024082,24789178,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0
53,12008,F,40세~44세,16.0,17779654,13414592,14671188,8653024,31194246,23324212,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,2.0,1.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0,0.0
54,897,F,55세~59세,72.0,75037530,82927782,118909738,62031232,157965312,180940970,1.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,0.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0,4.0,3.0,2.0,2.0,0.0,0.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0
55,14669,F,55세~59세,55.0,15332194,11756986,14087842,3596012,27089180,17683854,2.0,2.0,1.0,1.0,4.0,4.0,3.0,2.0,3.0,2.0,1.0,4.0,4.0,2.0,4.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,4.0,2.0,0.0
